,code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
309,WEI102,330306.0,ท้ายฝายหัวนา,15.1343568,104.702784,33.0,หนองแก้ว,กันทรารมย์,ศรีสะเกษ,แม่น้ำมูล,Hua Na Weir,Nong Kaeo,Kanthararom,Si Sa Ket,0.0,W,,,86.46164426877469,
310,WEI111,330910.0,เหนือฝายราษีไศล,15.3433,104.0982,33.0,บัวหุ่ง,ราษีไศล,ศรีสะเกษ,แม่น้ำมูล,Upper Rasi Salai Weir,Bua Hung,Rasi Salai,Si Sa Ket,0.0,W,,,86.46164426877469,
311,WEI112,330910.0,ท้ายฝายราษีไศล,15.3433,104.0982,33.0,บัวหุ่ง,ราษีไศล,ศรีสะเกษ,แม่น้ำมูล,Rasi Salai Weir,Bua Hung,Rasi Salai,Si Sa Ket,0.0,W,,,86.46164426877469,
312,WEI121,320209.0,เหนือฝายยางบ้านตะลุง,15.29309,103.54178,32.0,หนองเรือ,ชุมพลบุรี,สุรินทร์,แม่น้ำมูล,Upper Ban Ta Lung Weir,Nong Ruea,Chumphonburi,Surin,0.0,W,,,86.46164426877469,
313,WEI122,320209.0,ท้ายฝายยางบ้านตะลุง,15.29309,103.54178,32.0,หนองเรือ,ชุมพลบุรี,สุรินทร์,แม่น้ำมูล,Ban Ta Lung Weir,Nong Ruea,Chumphonburi,Surin,0.0,W,,,86.46164426877469,
314,WEI131,310202.0,เหนือฝายยางบ้านเขว้า,15.4119,103.10326,31.0,ปะเคียบ,คูเมือง,บุรีรัมย์,แม่น้ำมูล,Upper Ban Kawao Weir,Pa Khiap,Khu Mueang,Buri Ram,0.0,W,,,86.46164426877469,
315,WEI132,310202.0,ท้ายฝายยางบ้านเขว้า,15.4119,103.10326,31.0,ปะเคียบ,คูเมือง,บุรีรัมย์,แม่น้ำมูล,Ban Kawao Weir,Pa Khiap,Khu Mueang,Buri Ram,0.0,W,,,86.46164426877469,
316,WEI141,301701.0,เหนือฝายชุมพวง,15.38688,102.71897,30.0,ชุมพวง,ชุมพวง,นครราชสีมา,แม่น้ำมูล,Upper Chum Phuang Weir,Chum Phuang,Chum Phuang,Nakhon Ratchasima,0.0,W,,,86.46164426877469,
317,WEI142,301701.0,ท้ายฝายชุมพวง,15.38688,102.71897,30.0,ชุมพวง,ชุมพวง,นครราชสีมา,แม่น้ำมูล,Chum Phuang Weir,Chum Phuang,Chum Phuang,Nakhon Ratchasima,0.0,W,,,86.46164426877469,
318,WEI151,301501.0,เหนือฝายพิมาย,15.22879,102.50182,30.0,ในเมือง,พิมาย,นครราชสีมา,แม่น้ำมูล,Upper Phimai Weir,Nai Mueang,Phimai,Nakhon Ratchasima,0.0,W,,,86.46164426877469,
319,YOM001,560601.0,ปง,19.1483,100.2776,56.0,ปง,ปง,พะเยา,แม่น้ำยม,Yom 1,Pong,Pong,Phayao,0.0,W,293.426,293.084,287.24,
320,YOM002,560403.0,เชียงม่วน,18.94623,100.25925,56.0,สระ,เชียงม่วน,พะเยา,แม่น้ำยม,Yom 2,Sa,Chiang Muan,Phayao,0.0,W,267.472,267.109,256.76,
321,YOM003,540803.0,หนองม่วงไข่,18.26593472,100.1769669,54.0,น้ำรัด,หนองม่วงไข่,แพร่,แม่น้ำยม,Yom 3,Nam Rad,Nong Muang Khai,Phrae,0.0,W,158.977,157.0,151.7,
322,YOM004,540501.0,เด่นชัย,18.02096127,100.0588285,54.0,เด่นชัย,เด่นชัย,แพร่,แม่น้ำยม,Yom 4,Den Chai,Den Chai,Phrae,0.0,W,147.259,147.708,135.95,
