code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
NAN011,530104,เมืองอุตรดิตถ์,17.61027,100.09961,53,ป่าเซ่า,เมืองอุตรดิตถ์,อุตรดิตถ์,แม่น้ำน่าน,Nan 11,Pa Chao,Mueang Uttaradit,Uttaradit,0,W,57.462,60.592,49.28,
NAN012,650110,เมืองพิษณุโลก,16.86488,100.24485,65,ปากโทก,เมืองพิษณุโลก,พิษณุโลก,แม่น้ำน่าน,Nan 12,Pak Thok,Mueang Phitsanulok,Phitsanulok,0,W,45.044,45.36,33.617,
NAN013,650801,วังทอง,16.82247,100.43184,65,วังทอง,วังทอง,พิษณุโลก,แม่น้ำน่าน,Nan 13,Wang Thong,Wang Thong,Phitsanulok,0,W,49.923,49.272,39.952,
NAN014,530203,ตรอน,17.418305,100.13089,53,หาดสองแคว,ตรอน,อุตรดิตถ์,แม่น้ำน่าน,NAN 14,Had Song Kwae,Tron,Uttaradit,0,W,53.976,52.156,44.976,
NKO001,800901,ทุ่งสง,8.17496,99.67879,80,ปากแพรก,ทุ่งสง,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันตก,Nakhon Si Thammarat 1,Pak Phraek,Thung Song,Nakhon Si Thammarat,0,W,53.993,54.54,49.18,
NKO002,800611,เชียรใหญ่,8.08925,100.12788,80,การะเกด,เชียรใหญ่,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออก,Nakhon Si Thammarat 2,Karaket,Chian Yai,Nakhon Si Thammarat,0,W,3.564,3.515,-11.456,
NKO003,801801,ถ้ำพรรณรา,8.39126,99.39515,80,ถ้ำพรรณรา,ถ้ำพรรณรา,นครศรีธรรมราช,แม่น้ำตาปี,Nakhon Si Thammarat 3,Tham Phannara,Tham Phannara,Nakhon Si Thammarat,13.336,W,20.854,21.854,10.436,
NKO004,801106,ทุ่งใหญ่,8.41452,99.24983,80,บางรูป,ทุ่งใหญ่,นครศรีธรรมราช,แม่น้ำตาปี,Nakhon Si Thammarat 4,Bang Rup,Thung Yai ,Nakhon Si Thammarat,4.82,W,16.24,16.56,9.62,
NPI001,800806,ท่าศาลา,8.786807443,99.9112705,80,สระแก้ว,ท่าศาลา,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออก,Nop Phi Tam 1,Sa Kaeo,Tha Sala,Nakhon Si Thammarat,0,W,7.492,3.24,-0.928,
NPI002,800806,นบพิตำ,8.72007,99.79544,80,สระแก้ว,ท่าศาลา,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออก,Nop Phi Tam 2,Sa Kaeo,Tha Sala,Nakhon Si Thammarat,0,W,23.109,24.18,13.448,
NYK000,260409,องครักษ์,14.11363,101.01955,26,องครักษ์,องครักษ์,นครนายก,แม่น้ำบางปะกง,Ongkharak,Ongkharak,Ongkharak,Nakhon Nayok,0,W,4.797,2.512,-3.96,
NYK001,260309,สะพานวังแก่ง,14.36487,101.090275,26,เขาเพิ่ม,บ้านนา,นครนายก,แม่น้ำบางปะกง,Wong Kaeng Bridge,Khao Phoem,Ban Na,Nakhon Nayok,0,W,,,,
